Season,Round,Team,Player,PlayerUrl,Position,SelectionType,ScrapedAt
2026,7,Port Adelaide,J Berry,pp-port-adelaide-power--joe-berry,Gen. Forward,selected,2026-04-29 08:44
2026,7,Geelong,L Humphries,pp-geelong-cats--lawson-humphries,Gen. Defender,selected,2026-04-29 08:44
2026,7,Geelong,C O'Sullivan,pp-geelong-cats--connor-o-sullivan,Gen. Defender,selected,2026-04-29 08:44
2026,7,Geelong,Z Guthrie,pp-geelong-cats--zach-guthrie,Gen. Defender,selected,2026-04-29 08:44
2026,7,Port Adelaide,D B-Jones,pp-port-adelaide-power--darcy-byrne-jones,Key Forward,selected,2026-04-29 08:44
2026,7,Port Adelaide,J Whitlock,pp-port-adelaide-power--jack-whitlock,Key Forward,selected,2026-04-29 08:44
2026,7,Port Adelaide,J Richards,pp-port-adelaide-power--joe-richards,Key Forward,selected,2026-04-29 08:44
2026,7,Geelong,S De Koning,pp-geelong-cats--sam-de-koning,Key Defender,selected,2026-04-29 08:44
2026,7,Geelong,J Henry,pp-geelong-cats--jack-henry,Key Defender,selected,2026-04-29 08:44
2026,7,Geelong,T Stewart,pp-geelong-cats--thomas-stewart,Key Defender,selected,2026-04-29 08:44
2026,7,Port Adelaide,J Sweet,pp-port-adelaide-power--jordon-sweet,Ruck,selected,2026-04-29 08:44
2026,7,Port Adelaide,Z Butters,pp-port-adelaide-power--zak-butters,Ruck,selected,2026-04-29 08:44
2026,7,Port Adelaide,W Drew,pp-port-adelaide-power--willem-drew,Ruck,selected,2026-04-29 08:44
2026,7,Geelong,M Edwards,pp-geelong-cats--mitchell-edwards,Ruck,selected,2026-04-29 08:44
2026,7,Geelong,T Atkins,pp-geelong-cats--tom-atkins,Ruck,selected,2026-04-29 08:44
2026,7,Geelong,M Holmes,pp-geelong-cats--max-holmes,Ruck,selected,2026-04-29 08:44
2026,7,Geelong,O Mullin,pp-geelong-cats--oisin-mullin,Interchange,interchange,2026-04-29 08:44
2026,7,Geelong,T Bruhn,pp-geelong-cats--tanner-bruhn,Interchange,interchange,2026-04-29 08:44
2026,7,Geelong,J Bowes,pp-geelong-cats--jack-bowes,Interchange,interchange,2026-04-29 08:44
2026,7,Geelong,J Worpel,pp-geelong-cats--james-worpel,Interchange,interchange,2026-04-29 08:44
2026,7,Geelong,M O'Connor,pp-geelong-cats--mark-o-connor,Interchange,interchange,2026-04-29 08:44
2026,7,Geelong,B Close,pp-geelong-cats--bradley-close,,emergency,2026-04-29 08:44
2026,7,Geelong,O Wiltshire,pp-geelong-cats--oliver-wiltshire,,emergency,2026-04-29 08:44
2026,7,Geelong,J Kolodjashnij,pp-geelong-cats--jake-kolodjashnij,,emergency,2026-04-29 08:44
2026,7,Fremantle,K Worner,pp-fremantle-dockers--karl-worner,Interchange,interchange,2026-04-29 08:44
2026,7,Fremantle,C Wagner,pp-fremantle-dockers--corey-wagner,Interchange,interchange,2026-04-29 08:44
2026,7,Fremantle,I Dudley,pp-fremantle-dockers--isaiah-dudley,Interchange,interchange,2026-04-29 08:44
2026,7,Fremantle,M Frederick,pp-fremantle-dockers--minairo-frederick,Interchange,interchange,2026-04-29 08:44
2026,7,Fremantle,M Cox,pp-fremantle-dockers--mason-cox,Interchange,interchange,2026-04-29 08:44
2026,7,Fremantle,J Sharp,pp-fremantle-dockers--jeremy-sharp,,emergency,2026-04-29 08:44
2026,7,Fremantle,B Walker,pp-fremantle-dockers--brandon-walker,,emergency,2026-04-29 08:44
2026,7,Fremantle,C Scerri,pp-fremantle-dockers--chris-scerri,,emergency,2026-04-29 08:44
2026,7,Fremantle,B Cox,pp-fremantle-dockers--brennan-cox,Key Defender,selected,2026-04-29 08:44
2026,7,Fremantle,A Pearce,pp-fremantle-dockers--alex-pearce,Key Defender,selected,2026-04-29 08:44
2026,7,Fremantle,H Chapman,pp-fremantle-dockers--heath-chapman,Key Defender,selected,2026-04-29 08:44
2026,7,Carlton,Z Williams,pp-carlton-blues--zachary-williams,Key Forward,selected,2026-04-29 08:44
2026,7,Carlton,W Hayward,pp-carlton-blues--will-hayward,Key Forward,selected,2026-04-29 08:44
2026,7,Carlton,B Kemp,pp-carlton-blues--brodie-kemp,Key Forward,selected,2026-04-29 08:44
2026,7,Fremantle,J Clark,pp-fremantle-dockers--jordan-clark,Gen. Defender,selected,2026-04-29 08:44
2026,7,Fremantle,L Ryan,pp-fremantle-dockers--luke-ryan,Gen. Defender,selected,2026-04-29 08:44
2026,7,Fremantle,J McVee,pp-fremantle-dockers--judd-mcvee,Gen. Defender,selected,2026-04-29 08:44
2026,7,Carlton,B Ainsworth,pp-carlton-blues--ben-ainsworth,Gen. Forward,selected,2026-04-29 08:44
2026,7,Carlton,J Smith,pp-carlton-blues--jagga-smith,Gen. Forward,selected,2026-04-29 08:44
2026,7,Carlton,F Evans,pp-carlton-blues--francis-evans,Gen. Forward,selected,2026-04-29 08:44
2026,7,Fremantle,N Erasmus,pp-fremantle-dockers--neil-erasmus,Midfielder,selected,2026-04-29 08:44
2026,7,Fremantle,A Brayshaw,pp-fremantle-dockers--andrew-brayshaw,Midfielder,selected,2026-04-29 08:44
2026,7,Fremantle,M Johnson,pp-fremantle-dockers--matt-johnson-1,Midfielder,selected,2026-04-29 08:44
2026,7,Carlton,O Florent,pp-carlton-blues--oliver-florent,Midfielder,selected,2026-04-29 08:44
2026,7,Carlton,P Cripps,pp-carlton-blues--patrick-cripps,Midfielder,selected,2026-04-29 08:44
2026,7,Carlton,M Carroll,pp-carlton-blues--matt-carroll,Midfielder,selected,2026-04-29 08:44
2026,7,Fremantle,S Bolton,pp-fremantle-dockers--shai-bolton,Gen. Forward,selected,2026-04-29 08:44
2026,7,Fremantle,J Amiss,pp-fremantle-dockers--jye-amiss,Gen. Forward,selected,2026-04-29 08:44
2026,7,Fremantle,S Switkowski,pp-fremantle-dockers--sam-switkowski,Gen. Forward,selected,2026-04-29 08:44
2026,7,Carlton,N Haynes,pp-carlton-blues--nick-haynes,Gen. Defender,selected,2026-04-29 08:44
2026,7,Carlton,M McGovern,pp-carlton-blues--mitch-mcgovern,Gen. Defender,selected,2026-04-29 08:44
2026,7,Carlton,N Newman,pp-carlton-blues--nic-newman,Gen. Defender,selected,2026-04-29 08:44
2026,7,Fremantle,M Reid,pp-fremantle-dockers--murphy-reid,Key Forward,selected,2026-04-29 08:44
2026,7,Fremantle,J Treacy,pp-fremantle-dockers--josh-treacy,Key Forward,selected,2026-04-29 08:44
2026,7,Fremantle,P Voss,pp-fremantle-dockers--patrick-voss,Key Forward,selected,2026-04-29 08:44
2026,7,Carlton,H Dean,pp-carlton-blues--harry-dean,Key Defender,selected,2026-04-29 08:44
2026,7,Carlton,J Weitering,pp-carlton-blues--jacob-weitering,Key Defender,selected,2026-04-29 08:44
2026,7,Carlton,L Cowan,pp-carlton-blues--lachlan-cowan,Key Defender,selected,2026-04-29 08:44
2026,7,Fremantle,L Jackson,pp-fremantle-dockers--luke-jackson,Ruck,selected,2026-04-29 08:44
2026,7,Fremantle,H Young,pp-fremantle-dockers--hayden-young,Ruck,selected,2026-04-29 08:44
2026,7,Fremantle,C Serong,pp-fremantle-dockers--caleb-serong,Ruck,selected,2026-04-29 08:44
