Player,Team,Jumper,Position,Height,DOB,Age,Matches,RatingPoints_Avg,CoachesVotes_Avg,CoachesVotes_Total,TimeOnGround,Supercoach_Avg,DreamTeamPoints_Avg
Callum Ah Chee,Adelaide,4,Forward,182.0,1997-10-09,28.0,2,5.75,0.0,0,64.5,45.0,37.5
Sam Berry,Adelaide,3,Midfield,181.0,2002-02-12,24.0,8,12.162,2.0,16,74.0,102.0,94.125
Hugh Bond,Adelaide,21,Defender,185.0,2004-09-25,21.0,6,3.883,0.0,0,84.0,55.0,47.833
James Borlase,Adelaide,35,Defender,192.0,2002-07-18,23.0,3,6.2,0.0,0,90.667,55.0,34.333
Jordon Butts,Adelaide,41,Defender,195.0,1999-12-31,26.0,6,6.2,0.667,4,86.667,58.167,45.167
Brayden Cook,Adelaide,15,MidfieldForward,189.0,2002-07-18,23.0,8,11.625,0.75,6,82.75,77.625,71.5
Indy Cotton,Adelaide,33,Forward,195.0,2007-05-08,18.0,0,0.0,0.0,0,0.0,0.0,0.0
Isaac Cumming,Adelaide,44,Midfield,188.0,1998-08-11,27.0,7,9.471,0.0,0,79.714,66.143,62.143
Daniel Curtin,Adelaide,6,Midfield,197.0,2005-03-08,21.0,1,5.4,0.0,0,76.0,49.0,41.0
Jordan Dawson,Adelaide,12,Midfield,190.0,1997-04-09,29.0,5,18.68,0.2,1,82.0,102.6,103.0
Billy Dowling,Adelaide,31,MidfieldForward,187.0,2004-07-01,21.0,0,0.0,0.0,0,0.0,0.0,0.0
Sid Draper,Adelaide,5,MidfieldForward,182.0,2006-07-05,19.0,0,0.0,0.0,0,0.0,0.0,0.0
Charlie Edwards,Adelaide,11,DefenderMidfield,191.0,2005-05-18,20.0,2,6.25,0.0,0,73.0,47.5,53.0
Darcy Fogarty,Adelaide,32,Forward,192.0,1999-09-25,26.0,3,3.533,0.0,0,76.0,42.667,49.0
Mitchell Hinge,Adelaide,20,Defender,187.0,1998-06-28,27.0,1,8.3,0.0,0,37.0,44.0,34.0
Chayce Jones,Adelaide,1,DefenderMidfield,180.0,2000-01-14,26.0,3,5.6,0.0,0,85.0,47.333,43.0
Mark Keane,Adelaide,48,Defender,194.0,2000-03-17,26.0,0,0.0,0.0,0,0.0,0.0,0.0
Ben Keays,Adelaide,2,Forward,185.0,1997-02-23,29.0,8,10.838,0.0,0,88.375,67.625,63.625
Rory Laird,Adelaide,29,Defender,178.0,1993-12-29,32.0,6,7.433,0.0,0,78.0,78.0,82.5
Archie Ludowyke,Adelaide,34,Forward,197.0,2007-11-19,18.0,0,0.0,0.0,0,0.0,0.0,0.0
